Feature,Importance,Std
FractionCSP3,0.07083333333333337,0.016953549466296798
TPSA,0.02777777777777781,0.008784104611578835
Chi1v,0.016666666666666708,0.008333333333333326
NumSulfurs,0.01388888888888895,0.0
NumEthers,0.012500000000000044,0.0074793955654646
LongestAliphaticChain,0.00833333333333337,0.0068041381743977475
MolMR,0.00833333333333337,0.0068041381743977475
MW,0.00555555555555558,0.006804138174397747
RotBonds,0.00555555555555558,0.006804138174397747
NumOH,0.00555555555555558,0.006804138174397747
LogP,0.00277777777777779,0.005555555555555581
HBD,0.00277777777777779,0.005555555555555581
CarbonCount,0.0,0.0
AliphaticCarbonCount,0.0,0.0
NumCarbonyls,0.0,0.0
NumCarboxyls,0.0,0.0
NumAromRings,0.0,0.0
HeavyAtomCount,0.0,0.0
NumAmines,0.0,0.0
LabuteASA,0.0,0.0
NumChargedAtoms,0.0,0.0
HBA,0.0,0.0
PolarRatio,0.0,0.0
Chi0v,0.0,0.0
NumRings,0.0,0.0
