Feature,Importance_Difference
NumRings,0.20555555555555555
NumCarbonyls,0.14027777777777778
FractionCSP3,0.09166666666666673
Chi1v,0.03194444444444451
LogP,0.02083333333333339
TPSA,0.013888888888888961
PolarRatio,0.013888888888888862
NumEthers,0.012500000000000044
MolMR,0.00833333333333337
MW,0.00555555555555558
RotBonds,0.00555555555555558
NumOH,0.00555555555555558
NumSulfurs,0.0041666666666665755
NumAromRings,0.00277777777777779
HBD,0.00277777777777779
LongestAliphaticChain,6.591949208711867e-17
CarbonCount,0.0
AliphaticCarbonCount,0.0
HeavyAtomCount,0.0
NumCarboxyls,0.0
NumAmines,0.0
LabuteASA,0.0
NumChargedAtoms,0.0
HBA,0.0
Chi0v,0.0
