Feature,Importance_Difference
NumRings,0.20555555555555555
NumAromRings,0.1861111111111111
NumCarbonyls,0.14027777777777778
FractionCSP3,0.02083333333333335
LogP,0.018055555555555602
NumSulfurs,0.018055555555555526
Chi1v,0.015277777777777802
PolarRatio,0.013888888888888862
TPSA,0.01388888888888885
LongestAliphaticChain,0.008333333333333304
Chi0v,0.0
MolMR,0.0
NumChargedAtoms,0.0
LabuteASA,0.0
NumAmines,0.0
MW,0.0
NumEthers,0.0
NumCarboxyls,0.0
AliphaticCarbonCount,0.0
CarbonCount,0.0
HeavyAtomCount,0.0
RotBonds,0.0
HBD,0.0
HBA,0.0
NumOH,0.0
