Feature,Importance_Difference
NumAromRings,0.1833333333333333
FractionCSP3,0.07083333333333337
TPSA,0.02777777777777781
Chi1v,0.016666666666666708
NumSulfurs,0.01388888888888895
NumEthers,0.012500000000000044
LongestAliphaticChain,0.00833333333333337
MolMR,0.00833333333333337
MW,0.00555555555555558
RotBonds,0.00555555555555558
NumOH,0.00555555555555558
LogP,0.00277777777777779
HBD,0.00277777777777779
HeavyAtomCount,0.0
CarbonCount,0.0
AliphaticCarbonCount,0.0
NumCarbonyls,0.0
NumCarboxyls,0.0
NumRings,0.0
NumAmines,0.0
LabuteASA,0.0
NumChargedAtoms,0.0
HBA,0.0
PolarRatio,0.0
Chi0v,0.0
