Feature,Importance,Std
NumRings,0.20555555555555555,0.030301978096210318
NumCarbonyls,0.14027777777777778,0.028088539466884294
NumSulfurs,0.018055555555555526,0.006364688465216472
PolarRatio,0.013888888888888862,0.008784104611578835
TPSA,0.01388888888888885,0.01075828707279837
LongestAliphaticChain,0.008333333333333304,0.006804138174397694
MW,0.0,0.0
NumCarboxyls,0.0,0.0
Chi0v,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumEthers,0.0,0.0
NumOH,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
HBA,0.0,0.0
NumAromRings,-0.00277777777777779,0.005555555555555581
Chi1v,-0.015277777777777802,0.011536977587386218
LogP,-0.018055555555555602,0.006364688465216422
FractionCSP3,-0.02083333333333335,0.01119758020597021
