Feature,Importance,Std
NumSulfurs,0.10833333333333339,0.008333333333333337
MW,0.0,0.0
NumCarbonyls,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumEthers,0.0,0.0
NumCarboxyls,0.0,0.0
NumOH,0.0,0.0
LogP,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
FractionCSP3,0.0,0.0
NumAromRings,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
HBA,0.0,0.0
TPSA,0.0,0.0
Chi1v,0.0,0.0
