Feature,Importance_Difference
NumChargedAtoms,0.15434782608695646
NumOH,0.03804347826086954
NumRings,0.017391304347826052
TPSA,0.015217391304347806
NumSulfurs,0.015217391304347783
PolarRatio,0.01413043478260866
NumEthers,0.0119565217391304
MW,0.011956521739130399
HBA,0.00978260869565216
LogP,0.005434782608695654
HBD,0.005434782608695621
Chi0v,0.005434782608695621
LabuteASA,0.004347826086956497
Chi1v,0.004347826086956497
RotBonds,0.0021739130434782817
AliphaticCarbonCount,0.0021739130434782483
LongestAliphaticChain,0.0021739130434782483
NumAromRings,0.0021739130434782483
NumCarbonyls,0.001086956521739113
NumCarboxyls,0.0
CarbonCount,0.0
NumAmines,0.0
HeavyAtomCount,0.0
FractionCSP3,0.0
MolMR,0.0
SMILES_Valid,0.0
