Feature,Importance,Std
NumChargedAtoms,0.21521739130434786,0.030279104950400242
FractionCSP3,0.08152173913043478,0.015562848981822131
NumOH,0.008695652173913082,0.004347826086956542
NumCarbonyls,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumEthers,0.0,0.0
NumCarboxyls,0.0,0.0
SMILES_Valid,0.0,0.0
MW,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
NumAromRings,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
HBA,0.0,0.0
TPSA,0.0,0.0
LogP,0.0,0.0
Chi1v,0.0,0.0
