Feature,Importance,Std
FractionCSP3,0.04456521739130433,0.01326799523449314
TPSA,0.03586956521739132,0.004981060537995449
SMILES_Valid,0.0,0.0
NumCarbonyls,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumEthers,0.0,0.0
NumCarboxyls,0.0,0.0
NumOH,0.0,0.0
MW,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
NumAromRings,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
HBA,0.0,0.0
LogP,0.0,0.0
Chi1v,0.0,0.0
