Feature,Importance_Difference
FractionCSP3,0.08152173913043478
NumChargedAtoms,0.0608695652173914
TPSA,0.024999999999999946
NumRings,0.017391304347826052
NumSulfurs,0.015217391304347783
PolarRatio,0.01413043478260866
MW,0.011956521739130399
NumOH,0.008695652173913092
LogP,0.006521739130434745
Chi0v,0.005434782608695621
HBD,0.005434782608695621
LabuteASA,0.004347826086956497
Chi1v,0.004347826086956497
NumEthers,0.0032608695652173838
AliphaticCarbonCount,0.0021739130434782483
NumAromRings,0.0021739130434782483
LongestAliphaticChain,0.0021739130434782483
RotBonds,0.0021739130434782483
NumCarbonyls,0.001086956521739113
HBA,1.1102230246251566e-17
NumCarboxyls,0.0
CarbonCount,0.0
NumAmines,0.0
HeavyAtomCount,0.0
MolMR,0.0
SMILES_Valid,0.0
