Feature,Importance_Difference
NumChargedAtoms,0.15434782608695646
NumAromRings,0.08478260869565216
TPSA,0.024999999999999946
NumRings,0.017391304347826052
NumSulfurs,0.015217391304347783
PolarRatio,0.01413043478260866
MW,0.011956521739130399
FractionCSP3,0.010869565217391242
LogP,0.009782608695652183
Chi0v,0.005434782608695621
Chi1v,0.004347826086956497
LabuteASA,0.004347826086956497
NumEthers,0.0032608695652173838
HBA,0.0032608695652173838
HBD,0.0032608695652173725
NumOH,0.0021739130434782596
AliphaticCarbonCount,0.0021739130434782483
RotBonds,0.0021739130434782483
NumCarbonyls,0.001086956521739113
LongestAliphaticChain,0.0010869565217391129
NumCarboxyls,0.0
NumAmines,0.0
CarbonCount,0.0
MolMR,0.0
HeavyAtomCount,0.0
SMILES_Valid,0.0
