Feature,Importance_Difference
NumSulfurs,0.08478260869565221
NumOH,0.038043478260869526
NumEthers,0.015217391304347783
LogP,0.011956521739130399
HBA,0.00978260869565215
TPSA,0.00978260869565214
RotBonds,3.3306690738754695e-17
NumCarboxyls,0.0
Chi0v,0.0
PolarRatio,0.0
LongestAliphaticChain,0.0
MolMR,0.0
NumChargedAtoms,0.0
LabuteASA,0.0
NumAmines,0.0
SMILES_Valid,0.0
NumCarbonyls,0.0
MW,0.0
AliphaticCarbonCount,0.0
CarbonCount,0.0
HeavyAtomCount,0.0
NumRings,0.0
FractionCSP3,0.0
NumAromRings,0.0
HBD,0.0
Chi1v,0.0
