MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,Name,TARGET,Index
478.2202826679999,1.7261999999999995,112.91000000000004,9,2,20,2,0.48,2,BZLOS,34,0
1565.026672703999,4.804299999999984,306.36,32,1,104,0,1.0,0,GAOTU,21,1
2445.550967663999,5.136300000000073,490.9600000000003,52,1,164,0,1.0,0,UCGMD,25,2
1821.1577464439997,5.899799999999989,360.3500000000001,37,1,118,0,0.9431818181818182,0,ZNDOP,19,3
2701.6820414039985,6.231800000000137,544.9500000000005,57,1,178,0,0.9609375,0,JMHYX,46,4
344.256274252,2.5955999999999992,86.99000000000001,5,3,14,0,0.9473684210526316,1,IBYRO,45,5
1226.759833768,2.263999999999998,280.81999999999994,26,3,73,0,0.9827586206896552,1,FIGHQ,10,6
1296.838084088,4.2145000000000055,280.81999999999994,26,3,78,0,0.984126984126984,1,APJMN,23,7
1308.8380840880002,4.380600000000002,280.81999999999994,26,3,78,0,0.953125,1,OLPBZ,31,8
4308.5948661280045,3.426000000000134,926.9200000000012,96,3,283,0,0.9949494949494948,1,GXDUT,78,9
1837.3287153759995,17.55739999999999,292.9599999999999,28,1,110,0,0.91,1,DRARY,72,10
666.5281985679999,6.380000000000008,103.30000000000004,10,1,37,0,1.0,0,VPJVU,9,11
826.63814294,7.206800000000012,130.99000000000004,13,1,46,0,1.0,0,OMDLO,42,12
638.4968984399999,5.603000000000008,103.30000000000004,10,1,37,0,1.0,0,UWDIF,75,13
624.4812483759998,5.214500000000007,103.30000000000004,10,1,37,0,1.0,0,CRANV,25,14
1122.7852606680003,5.79200000000002,204.83,21,1,74,0,1.0,0,GQMDN,21,15
1136.800910732,6.182100000000021,204.83,21,1,75,0,1.0,0,MEBXO,9,16
1356.9319844719998,6.265100000000009,250.9799999999999,26,1,90,0,1.0,0,UNSKX,95,17
2457.587353171999,6.680100000000062,481.7300000000003,51,1,165,0,1.0,0,IQUKT,6,18
1150.816560796,6.572200000000021,204.83,21,1,76,0,1.0,0,UBCEH,57,19
362.3032244439999,3.9660000000000033,57.150000000000006,5,1,22,0,1.0,0,TCIOG,70,20
