Feature,Importance_Difference
HBA,0.06923076923076918
PolarRatio,0.06538461538461535
RotBonds,0.038461538461538436
CarbonCount,0.038461538461538436
HBD,0.03076923076923075
LongestAliphaticChain,0.03076923076923075
LogP,0.026923076923076904
FractionCSP3,0.01153846153846153
MW,0.0
NumSulfurs,0.0
Chi0v,0.0
MolMR,0.0
NumChargedAtoms,0.0
LabuteASA,0.0
NumAmines,0.0
NumOH,0.0
NumEthers,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
AliphaticCarbonCount,0.0
HeavyAtomCount,0.0
NumRings,0.0
NumAromRings,0.0
TPSA,0.0
Chi1v,0.0
