Feature,Importance,Std
PolarRatio,0.2192307692307692,0.07102378966392071
FractionCSP3,0.19615384615384612,0.08505132456729224
LogP,0.038461538461538436,0.029792179586210877
MW,0.03461538461538459,0.020712172335132693
NumEthers,0.02307692307692306,0.018842228790639817
HeavyAtomCount,0.015384615384615375,0.018842228790639817
NumRings,0.015384615384615375,0.018842228790639817
TPSA,0.015384615384615375,0.018842228790639817
HBA,0.01153846153846153,0.017625291134445525
RotBonds,0.0076923076923076875,0.015384615384615375
AliphaticCarbonCount,0.0076923076923076875,0.015384615384615375
NumAmines,0.0,0.0
Chi0v,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumOH,0.0,0.0
NumSulfurs,0.0,0.0
NumCarboxyls,0.0,0.0
NumCarbonyls,0.0,0.0
CarbonCount,0.0,0.0
NumAromRings,0.0,0.0
HBD,0.0,0.0
Chi1v,0.0,0.0
