Feature,Importance_Difference
FractionCSP3,0.17307692307692313
TPSA,0.10000000000000005
HBA,0.06923076923076918
PolarRatio,0.05384615384615378
RotBonds,0.038461538461538436
CarbonCount,0.038461538461538436
NumOH,0.034615384615384694
AliphaticCarbonCount,0.034615384615384694
NumChargedAtoms,0.034615384615384694
HBD,0.03076923076923075
LogP,0.026923076923076984
MW,0.015384615384615418
LabuteASA,0.011538461538461563
HeavyAtomCount,0.0
NumCarbonyls,0.0
NumCarboxyls,0.0
NumEthers,0.0
NumSulfurs,0.0
NumAmines,0.0
NumRings,0.0
MolMR,0.0
LongestAliphaticChain,0.0
NumAromRings,0.0
Chi0v,0.0
Chi1v,0.0
