Feature,Importance_Difference
PolarRatio,0.20769230769230765
TPSA,0.08461538461538468
NumOH,0.034615384615384694
NumChargedAtoms,0.034615384615384694
AliphaticCarbonCount,0.026923076923077008
NumEthers,0.02307692307692306
FractionCSP3,0.023076923076922995
MW,0.01923076923076917
NumRings,0.015384615384615375
HeavyAtomCount,0.015384615384615375
LabuteASA,0.011538461538461563
HBA,0.01153846153846153
LogP,0.011538461538461452
RotBonds,0.0076923076923076875
Chi0v,0.0
LongestAliphaticChain,0.0
MolMR,0.0
HBD,0.0
NumSulfurs,0.0
NumAmines,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
NumAromRings,0.0
CarbonCount,0.0
Chi1v,0.0
