Feature,Importance_Difference
PolarRatio,0.2192307692307692
FractionCSP3,0.1846153846153846
MW,0.03461538461538459
LongestAliphaticChain,0.03076923076923075
NumEthers,0.02307692307692306
HeavyAtomCount,0.015384615384615375
NumRings,0.015384615384615375
TPSA,0.015384615384615375
LogP,0.011538461538461532
HBA,0.01153846153846153
RotBonds,0.0076923076923076875
AliphaticCarbonCount,0.0076923076923076875
NumAmines,0.0
Chi0v,0.0
MolMR,0.0
NumChargedAtoms,0.0
LabuteASA,0.0
NumOH,0.0
NumSulfurs,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
CarbonCount,0.0
NumAromRings,0.0
HBD,0.0
Chi1v,0.0
