Feature,Importance,Std
HBA,0.06923076923076918,0.015384615384615373
PolarRatio,0.06538461538461535,0.017625291134445525
RotBonds,0.038461538461538436,0.0
CarbonCount,0.038461538461538436,0.0
HBD,0.03076923076923075,0.015384615384615373
MW,0.0,0.0
NumEthers,0.0,0.0
Chi0v,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumOH,0.0,0.0
NumCarboxyls,0.0,0.0
NumCarbonyls,0.0,0.0
LogP,0.0,0.0
AliphaticCarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
FractionCSP3,0.0,0.0
NumAromRings,0.0,0.0
TPSA,0.0,0.0
Chi1v,0.0,0.0
