Feature,Importance,Std
FractionCSP3,0.17307692307692313,0.07740235306730044
TPSA,0.10000000000000005,0.03922322702763678
NumOH,0.034615384615384694,0.011538461538461563
NumChargedAtoms,0.034615384615384694,0.011538461538461563
AliphaticCarbonCount,0.034615384615384694,0.011538461538461563
LogP,0.026923076923076984,0.017625291134445577
MW,0.015384615384615418,0.018842228790639872
PolarRatio,0.011538461538461563,0.017625291134445577
LabuteASA,0.011538461538461563,0.017625291134445577
NumAromRings,0.0,0.0
NumRings,0.0,0.0
Chi0v,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
HBA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumEthers,0.0,0.0
NumCarboxyls,0.0,0.0
NumCarbonyls,0.0,0.0
HBD,0.0,0.0
RotBonds,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
Chi1v,0.0,0.0
