Feature,Importance_Difference
TPSA,0.10000000000000005
FractionCSP3,0.05769230769230771
NumOH,0.034615384615384694
AliphaticCarbonCount,0.034615384615384694
LogP,0.026923076923076984
MW,0.015384615384615418
PolarRatio,0.011538461538461563
LabuteASA,0.011538461538461563
NumChargedAtoms,1.0408340855860843e-16
NumAromRings,0.0
NumSulfurs,0.0
Chi0v,0.0
LongestAliphaticChain,0.0
MolMR,0.0
NumAmines,0.0
NumEthers,0.0
RotBonds,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
HBA,0.0
HBD,0.0
CarbonCount,0.0
HeavyAtomCount,0.0
NumRings,0.0
Chi1v,0.0
