Feature,Importance,Std
LongestAliphaticChain,0.03076923076923075,0.015384615384615373
LogP,0.026923076923076904,0.01762529113444553
FractionCSP3,0.01153846153846153,0.017625291134445525
MW,0.0,0.0
NumCarboxyls,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumEthers,0.0,0.0
NumOH,0.0,0.0
NumCarbonyls,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
NumAromRings,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
HBA,0.0,0.0
TPSA,0.0,0.0
Chi1v,0.0,0.0
