Feature,Importance_Difference
FractionCSP3,0.19615384615384612
PolarRatio,0.15384615384615385
HBA,0.05769230769230765
CarbonCount,0.038461538461538436
LogP,0.038461538461538436
MW,0.03461538461538459
HBD,0.03076923076923075
RotBonds,0.03076923076923075
NumEthers,0.02307692307692306
HeavyAtomCount,0.015384615384615375
NumRings,0.015384615384615375
TPSA,0.015384615384615375
AliphaticCarbonCount,0.0076923076923076875
LabuteASA,0.0
Chi0v,0.0
LongestAliphaticChain,0.0
MolMR,0.0
NumChargedAtoms,0.0
NumOH,0.0
NumAmines,0.0
NumSulfurs,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
NumAromRings,0.0
Chi1v,0.0
