Feature,Importance,Std
TPSA,0.04852941176470586,0.013235294117647059
HBA,0.048529411764705856,0.017462267775055766
MW,0.0,0.0
NumCarboxyls,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumEthers,0.0,0.0
NumOH,0.0,0.0
NumCarbonyls,0.0,0.0
LogP,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
NumRings,0.0,0.0
FractionCSP3,0.0,0.0
NumAromRings,0.0,0.0
RotBonds,0.0,0.0
HBD,0.0,0.0
Chi1v,0.0,0.0
