Feature,Importance_Difference
HBD,0.12500000000000003
PolarRatio,0.11176470588235295
NumAromRings,0.05441176470588235
TPSA,0.04852941176470586
NumSulfurs,0.0338235294117647
NumRings,0.023529411764705875
HBA,0.0117647058823529
NumCarbonyls,0.008823529411764675
RotBonds,0.007352941176470562
FractionCSP3,0.007352941176470562
MW,0.0058823529411764705
LabuteASA,0.004411764705882337
NumOH,0.002941176470588225
LogP,0.0014705882352941124
NumCarboxyls,0.0
NumEthers,0.0
AliphaticCarbonCount,0.0
NumAmines,0.0
CarbonCount,0.0
NumChargedAtoms,0.0
MolMR,0.0
LongestAliphaticChain,0.0
HeavyAtomCount,0.0
Chi0v,0.0
Chi1v,0.0
