Feature,Importance,Std
HBD,0.14852941176470588,0.01911764705882354
HBA,0.0117647058823529,0.00588235294117645
MW,0.010294117647058787,0.0067390819043468
RotBonds,0.010294117647058787,0.0067390819043468
NumRings,0.00588235294117645,0.007204381596421087
NumEthers,0.0,0.0
Chi0v,0.0,0.0
PolarRatio,0.0,0.0
LongestAliphaticChain,0.0,0.0
MolMR,0.0,0.0
NumChargedAtoms,0.0,0.0
LabuteASA,0.0,0.0
NumAmines,0.0,0.0
NumSulfurs,0.0,0.0
NumOH,0.0,0.0
NumCarboxyls,0.0,0.0
NumCarbonyls,0.0,0.0
LogP,0.0,0.0
AliphaticCarbonCount,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
FractionCSP3,0.0,0.0
NumAromRings,0.0,0.0
TPSA,0.0,0.0
Chi1v,0.0,0.0
