Feature,Importance_Difference
PolarRatio,0.11176470588235295
NumAromRings,0.05441176470588235
HBA,0.048529411764705856
NumSulfurs,0.0338235294117647
NumRings,0.029411764705882325
HBD,0.023529411764705865
MW,0.016176470588235257
NumCarbonyls,0.008823529411764675
FractionCSP3,0.007352941176470562
LabuteASA,0.004411764705882337
NumOH,0.002941176470588225
RotBonds,0.002941176470588225
LogP,0.0014705882352941124
AliphaticCarbonCount,0.0
CarbonCount,0.0
NumCarboxyls,0.0
NumEthers,0.0
HeavyAtomCount,0.0
NumAmines,0.0
NumChargedAtoms,0.0
MolMR,0.0
LongestAliphaticChain,0.0
TPSA,0.0
Chi0v,0.0
Chi1v,0.0
